dataset,seed,source,operator,k,mean_l1_ctrl_vs_clean,max_l1_ctrl_vs_clean,max_abs_ctrl_vs_clean,flip_rate,flip_count,n_test
HAPT,2,M2,late_product,32,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_product,64,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_product,100,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,1,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,2,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,3,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,5,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,8,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,16,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,32,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,64,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,late_mean,100,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,1,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,2,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,3,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,5,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,8,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,16,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,32,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,64,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,late_mean,100,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,1,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,2,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,3,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,5,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,8,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,16,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,32,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,64,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M1,cpsa,100,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,1,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,2,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,3,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,5,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,8,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,16,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,32,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,64,0.0,0.0,0.0,0.0,0,3162
HAPT,2,M2,cpsa,100,0.0,0.0,0.0,0.0,0,3162
